Run,Energy,Target,LP,HP,CH,Part,M5,M6,M1,M2,C1,C4,C2,C3,C5,C8,C7,C6,M3,M4,M7,M8,Sum
39027,6,W,0.45,5,HxLx,"k,pr",503.7299436,511.4358301,1591.24846,928.50484,5518.047075,5991.920104,3765.176802,4438.839865,1415.823815,10281.10594,4041.440442,6149.450314,934.5896595,1798.507747,230.4772523,449.2740183,47621.06727
39183,8,W,0.1,1,Total,total,580.767555,590.077943,4439.19355,1367.30824,5927.767668,8792.896427,4316.622764,5739.37188,1736.642556,9542.208539,4494.454034,7120.789628,1022.146245,2149.72459,304.0225706,565.9284816,57322.61443
39183,8,W,0.1,1,HL,e,737.0150228,651.1979204,7737.53915,2886.41185,3275.334575,2895.399717,3966.39818,1861.607493,743.0092965,15463.0124,5766.286968,9307.572293,804.3697674,6414.799209,381.0147718,525.3074646,60529.86423
39183,8,W,0.1,1,HLx,"mu,pi",587.2014552,586.5928239,4704.77055,1421.61078,6111.239927,9745.654438,4554.868976,6185.472303,1883.249569,9685.539178,4758.36567,7328.131208,1089.469663,2239.607102,310.4720352,581.626999,60352.2619
39183,8,W,0.1,1,HxLx,"k,pr",560.7009344,597.1510376,3679.00409,1186.25496,5554.659716,6843.678063,3760.257909,4953.177032,1481.18103,9076.968878,3826.531871,6313.011872,870.1232293,1850.351565,284.896466,524.7108605,50176.40456
39275,1,W,4.5,14,Total,total,256.5357598,252.9068169,1682.38384,770.29211,2798.587269,5380.282226,2126.268084,5885.950631,2219.041524,3994.946795,1570.854885,1569.490969,204.5003002,885.2867812,75.47755901,73.62966612,28976.14311
39275,1,W,4.5,14,HL,e,345.5164612,377.258408,2359.11513,1267.26459,3298.658025,5834.030455,2221.035551,7603.010402,2861.830044,3716.845778,1510.566644,978.8778647,175.8179612,872.0306426,76.82908618,69.50968065,32300.93213
39275,1,W,4.5,14,HLx,mu,104.681598,120.9313322,1218.43729,501.17365,2396.835906,6724.026743,2495.074469,4952.339363,1559.927137,5054.238572,3095.408396,3832.595209,284.8816757,885.3554557,75.89625143,128.5449813,32824.49278
39275,1,W,4.5,14,HxLx,"pi,pr",115.3273026,108.4589488,994.90458,333.12373,2333.289943,4448.973641,1844.707944,4825.201735,1485.56978,3939.816923,1085.04837,1621.919197,207.899682,909.5825927,76.86702177,30.43124007,24027.9989
39163,0.4,Cu,5,10,Total,total,85.207645,35.681804,455.763490,90.755950,873.6845174,3003.353947,647.6695171,2785.938567,558.984864,1719.769856,729.5603661,1053.00276,77.524876,1043.538404,20.721638,56.024073,13146.426324
39163,0.4,Cu,5,10,HL,e,87.782199,34.498086,467.292990,90.755950,838.2788097,2985.938534,608.6645333,2821.120977,554.5153883,1292.421805,729.5603661,705.4814317,77.524876,1043.538404,22.221438,56.024073,12324.863912
39163,0.4,Cu,5,10,HLx,no_particle,17.656889,12.245452,65.506420,0.000000,0,126.5968481,0,0,38.34942628,0,0,0,0.000000,0.000000,3.536397,0.000000,263.891433
39163,0.4,Cu,5,10,HxLx,"mu,pi,pr",0.000000,0.000000,262.856440,0.000000,2488.744476,4405.293016,1570.342931,239.3993439,1121.469923,16873.16488,0,7504.036846,0.000000,0.000000,0.000000,0.000000,34465.307853
392752,1,W,4.5,14,Total,total,0,0,0,0,2772.974802,4896.837516,1956.599608,6420.938095,2455.049851,2991.328684,1284.349689,863.9701265,0,0,0,0,23642.04837
392752,1,W,4.5,14,HL,e,0,0,0,0,138.9268648,112.3505129,47.05182748,139.1353246,51.57394836,139.1415352,115.0664847,8.087991104,0,0,0,0,751.3344892
392752,1,W,4.5,14,HLx,mu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392752,1,W,4.5,14,HxLx,"pi,pr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
